station_id,mae_h2,mae_h2e,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean,improvement
383703104423901,18.203237533569336,12.37964153289795,19,22.416667938232425,5.2475762367248535,17.169090270996094,-17.169090270996094,38.6174977,-104.7113622,11,0,1,22.416667938232425,5.823596000671387
06208500,6.108067512512207,1.141141414642334,33,2.097777843475342,2.904710531234741,0.9497485756874084,0.8069326281547546,45.46571389,-108.8441056,10,0,1,2.097777843475342,4.966926097869873
351409097231801,8.571307182312012,3.7942495346069336,4,1.0794641971588137,5.679837226867676,4.600373268127441,4.600373268127441,35.2359005,-97.3886432,11,0,1,1.0794641971588137,4.777057647705078
06453000,3.850970506668091,1.2273790836334229,40,4.517500400543213,6.758234977722168,2.961199998855591,2.240734577178955,43.0649947,-98.5534157,10,1,1,4.517500400543213,2.623591423034668
06339800,9.096741676330566,6.858994960784912,37,19.62432289123535,14.391014099121094,8.098257064819336,-5.233309268951416,47.3427902,-102.617962,10,0,1,19.62432289123535,2.2377467155456543
07077500,5.54455041885376,3.5500640869140625,30,7.700333118438721,3.290850877761841,4.409482955932617,-4.409482955932617,35.2697222,-91.2363889,8,0,1,7.700333118438721,1.9944863319396973
05355250,3.127819299697876,1.164825201034546,34,7.264706134796143,6.652126312255859,1.239014983177185,-0.6125790476799011,44.56530556,-92.5424444,7,2,1,7.264706134796143,1.96299409866333
07241550,2.970161199569702,1.09689199924469,157,5.704670906066895,4.783241271972656,1.394469141960144,-0.9214300513267516,35.5003412,-97.1939194,11,0,1,5.704670906066895,1.8732692003250122
06352400,6.945678234100342,5.327722549438477,36,16.469444274902344,15.286250114440918,4.67980432510376,-1.1831945180892944,46.1013925,-101.9576462,10,0,1,16.469444274902344,1.6179556846618652
05331580,2.6219162940979004,1.1896679401397705,186,7.457965850830078,6.561270713806152,1.8025742769241333,-0.8966950178146362,44.7460861,-92.8478747,7,4,1,7.457965850830078,1.4322483539581299
03612600,2.0168442726135254,0.7926751971244812,111,2.9016215801239014,4.278527736663818,1.376906394958496,1.376906394958496,37.17921867,-89.058404,5,1,1,2.9016215801239014,1.2241690754890442
05553700,2.0021133422851562,0.9508915543556213,35,5.3342766761779785,5.006191730499268,0.539690375328064,-0.3280845880508423,41.3247564,-88.9839693,7,2,1,5.3342766761779785,1.051221787929535
07048800,2.3488008975982666,1.3196512460708618,120,2.730680227279663,3.1003804206848145,1.6848629713058472,0.3697001039981842,36.10416667,-94.0075,11,1,1,2.730680227279663,1.0291496515274048
