station_id,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean
383703104423901,19,22.416667938232422,5.2475762367248535,17.169090270996094,-17.169090270996094,38.6174977,-104.7113622,11,0,1,22.416667938232422
06336500,26,12.315384864807129,17.525707244873047,8.189043045043945,5.21032190322876,46.9899222,-104.1837667,10,0,1,12.315384864807129
06339800,37,19.62432289123535,14.391014099121094,8.098257064819336,-5.233309268951416,47.3427902,-102.617962,10,0,1,19.62432289123535
06364700,35,12.209999084472656,13.484379768371582,7.9680376052856445,1.274379014968872,43.4855256,-105.2280351,10,0,1,12.209999084472656
06425900,21,13.780952453613281,10.460838317871094,6.021791934967041,-3.3201136589050293,44.07997827,-105.266931,10,0,1,13.780952453613281
06324925,34,12.317647933959961,6.8707051277160645,5.917842864990234,-5.446942329406738,44.6475,-105.3102778,10,1,1,12.317647933959961
06324500,89,5.277303218841553,10.560294151306152,5.552906036376953,5.2829909324646,45.0571972,-105.8783778,10,2,1,5.277303218841553
05357225,129,5.680140495300293,8.697319984436035,5.108528137207031,3.017179250717163,46.06138889,-89.6472222,07,0,1,5.680140495300293
06352400,36,16.469444274902344,15.286250114440918,4.67980432510376,-1.1831945180892944,46.1013925,-101.9576462,10,0,1,16.469444274902344
351409097231801,4,1.0794641971588135,5.679837226867676,4.600373268127441,4.600373268127441,35.2359005,-97.3886432,11,0,1,1.0794641971588135
07077500,30,7.700333118438721,3.290850877761841,4.409482955932617,-4.409482955932617,35.2697222,-91.2363889,08,0,1,7.700333118438721
06337470,20,15.671000480651855,16.99014663696289,4.044219970703125,1.3191477060317993,47.60000966,-102.5110168,10,0,1,15.671000480651855
06126470,22,9.459090232849121,10.755539894104004,3.5996766090393066,1.2964485883712769,46.38720278,-108.5418028,10,0,1,9.459090232849121
06307600,32,9.040624618530273,10.435029983520508,3.5481038093566895,1.394404649734497,45.29906389,-106.5081667,10,1,1,9.040624618530273
03460000,72,4.4375,3.933049440383911,3.4879744052886963,-0.5044505000114441,35.6672222,-83.0727778,06,0,1,4.4375
06877600,20,7.84499979019165,4.358585357666016,3.486415386199951,-3.486415386199951,38.90638906,-97.1177952,10,0,1,7.84499979019165
06770500,22,6.270454406738281,7.6269612312316895,3.2478790283203125,1.356507420539856,40.87411667,-98.28219167,10,7,1,6.270454406738281
06279500,38,3.699561357498169,6.842137336730957,3.14257550239563,3.14257550239563,44.75852989,-108.1815559,10,2,1,3.699561357498169
06453000,40,4.517500400543213,6.758234977722168,2.961199998855591,2.240734577178955,43.0649947,-98.5534157,10,1,1,4.517500400543213
06307616,30,7.466667175292969,6.015718460083008,2.629197359085083,-1.4509483575820923,45.41160556,-106.4573528,10,2,1,7.466667175292969
06296120,41,4.993902206420898,6.59266996383667,2.5726284980773926,1.5987675189971924,46.3980582,-105.8955602,10,2,1,4.993902206420898
03289500,45,5.333333492279053,3.042567729949951,2.5384323596954346,-2.2907660007476807,38.26868254,-84.8146714,05,0,1,5.333333492279053
06929315,38,1.6894736289978027,3.480032205581665,2.5110607147216797,1.7905588150024414,37.5574361,-92.0492806,10,0,1,1.6894736289978027
03373530,27,3.5351850986480713,3.720273733139038,2.4873692989349365,0.1850884109735489,38.6364393,-86.365253,05,0,1,3.5351850986480713
06885500,35,5.732856750488281,3.776158332824707,2.279461145401001,-1.9566986560821533,39.68194349,-96.4427888,10,0,1,5.732856750488281
07257500,12,1.8576388359069824,3.6355745792388916,2.2070868015289307,1.7779359817504883,35.46638889,-93.0411111,11,1,1,1.8576388359069824
06882000,35,5.829285621643066,3.692483425140381,2.2059879302978516,-2.1368021965026855,40.04463611,-96.58738611,10,1,1,5.829285621643066
03366500,36,5.166389465332031,3.123080253601074,2.0693845748901367,-2.0433084964752197,38.8042145,-85.6738418,05,0,1,5.166389465332031
05532500,52,7.5310893058776855,5.472594261169434,2.0649991035461426,-2.0584959983825684,41.82149167,-87.8220361,07,1,1,7.5310893058776855
03354000,37,4.5632429122924805,2.633329391479492,2.0099849700927734,-1.9299135208129883,39.4975388,-86.4005316,05,1,1,4.5632429122924805
403245106404900,55,3.0537874698638916,5.037574768066406,1.9856377840042114,1.9837877750396729,40.54581087,-106.6808768,10,0,1,3.0537874698638916
06765500,29,4.441723823547363,3.408149242401123,1.9821925163269043,-1.0335745811462402,41.11805396,-100.7732011,10,0,1,4.441723823547363
06214500,49,2.658435344696045,3.908384323120117,1.9441699981689453,1.2499489784240723,45.800119,-108.468031,10,2,1,2.658435344696045
05465500,291,4.2779436111450195,4.9953765869140625,1.9181835651397705,0.7174327373504639,41.1780861,-91.1820917,07,3,1,4.2779436111450195
07049187,119,2.3156723976135254,4.100698947906494,1.82685387134552,1.7850269079208374,36.250278,-94.026333,11,2,1,2.3156723976135254
05331580,186,7.457965850830078,6.561270713806152,1.8025742769241333,-0.8966950178146362,44.7460861,-92.8478747,07,4,1,7.457965850830078
07373420,320,3.7882628440856934,5.415186882019043,1.7251389026641846,1.6269237995147705,30.75851659,-91.3959464,08,2,1,3.7882628440856934
03209500,31,3.703225612640381,2.917010545730591,1.6950801610946655,-0.7862148880958557,37.4642676,-82.5262632,05,1,1,3.703225612640381
