site_no,DOC_monthly_labels,site_tp_cd,station_nm
05288705,205,ST,"SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS, MN"
05311000,36,ST,"MINNESOTA RIVER AT MONTEVIDEO, MN"
05320270,39,ST,"LITTLE COBB RIVER NEAR BEAUFORD, MN"
05320500,14,ST,"LE SUEUR RIVER NEAR RAPIDAN, MN"
05322000,38,ST,"BLUE EARTH RIVER AT MOUTH AT MANKATO, MN"
05325000,7,ST,"MINNESOTA RIVER AT MANKATO, MN"
05325050,12,ST,"MINNESOTA RIVER AT HWY 14 BRIDGE IN MANKATO, MN"
05330000,44,ST,"MINNESOTA RIVER NEAR JORDAN, MN"
05330902,28,ST,"NINE MILE CREEK NR JAMES CIRCLE AT BLOOMINGTON, MN"
05331580,186,ST,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN"
05331833,29,ST,"NAMEKAGON RIVER AT LEONARDS, WI"
05333500,67,ST,"ST. CROIX RIVER NEAR DANBURY, WI"
05340500,77,ST,"ST. CROIX RIVER AT ST. CROIX FALLS, WI"
05355250,34,ST,"MISSISSIPPI RIVER AT RED WING, MN"
05357206,94,ST,"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI"
05357215,126,ST,"ALLEQUASH CREEK @ CT HWY M NR BOULDER JUNCTION, WI"
05357225,129,ST,"STEVENSON CREEK @ CT HWY M NR BOULDER JUNCTION, WI"
05357230,127,ST,"NORTH CREEK AT TROUT LAKE NEAR BOULDER JUNCTION,WI"
05357239,103,ST,"MANN CREEK AT CTH N NEAR BOULDER JUNCTION, WI"
05357245,119,ST,"TROUT RIVER AT TROUT LAKE NEAR BOULDER JUNCTION,WI"
05412500,118,ST,"Turkey River at Garber, IA"
05418600,118,ST,"Maquoketa River near Spragueville, IA"
05420500,296,ST,"Mississippi River at Clinton, IA"
05420680,41,ST,"Wapsipinicon River near Tripoli, IA"
05422000,150,ST,"Wapsipinicon River near De Witt, IA"
05427948,25,ST,"PHEASANT BRANCH AT MIDDLETON, WI"
05427952,26,ST,"PHEASANT BRANCH AT MOUTH AT MIDDLETON, WI"
05449500,56,ST,"Iowa River near Rowan, IA"
05451070,20,ST,"South Fork Iowa River Headwaters nr Blairsburg, IA"
05451080,19,ST,"South Fork Iowa River near Blairsburg, IA"
05451210,238,ST,"South Fork Iowa River NE of New Providence, IA"
05453100,48,ST,"Iowa River at Marengo, IA"
05455100,31,ST,"Old Mans Creek near Iowa City, IA"
05457750,19,ST,"Cedar River near Carville, IA"
05461390,31,ST,"Flood Creek near Powersville, IA"
05463050,22,ST,"Cedar River at Cedar Falls, IA"
05464020,31,ST,"Cedar River at Gilbertville, IA"
05464220,41,ST,"Wolf Creek near Dysart, IA"
05464420,47,ST,"Cedar River at Blairs Ferry Road at Palo, IA"
05464480,78,ST,"Cedar River at Edgewood Road at Cedar Rapids, IA"
05464760,20,ST,"Cedar River near Bertram, IA"
05464935,25,ST,"Cedar River near Nichols, IA"
05465500,291,ST,"Iowa River at Wapello, IA"
05474000,159,ST,"Skunk River at Augusta, IA"
05490500,224,ST,"Des Moines River at Keosauqua, IA"
05520500,40,ST,"KANKAKEE RIVER AT MOMENCE, IL"
05526000,39,ST,"IROQUOIS RIVER NEAR CHEBANSE, IL"
05531500,19,ST,"SALT CREEK AT WESTERN SPRINGS, IL"
05532500,52,ST,"DES PLAINES RIVER AT RIVERSIDE, IL"
05536995,40,ST,"CHICAGO SANITARY AND SHIP CANAL AT ROMEOVILLE, IL"
05538020,14,ST,"DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL"
05540275,71,ST,"SPRING BROOK AT 87TH STREET NEAR NAPERVILLE, IL"
05540500,40,ST,"DU PAGE RIVER AT SHOREWOOD, IL"
05543500,58,ST,"ILLINOIS RIVER AT MARSEILLES, IL"
05550000,39,ST,"FOX RIVER AT ALGONQUIN, IL"
05552500,45,ST,"FOX RIVER AT DAYTON, IL"
05553700,35,ST,"ILLINOIS RIVER AT STARVED ROCK, IL"
05568000,37,ST,"MACKINAW RIVER NEAR GREEN VALLEY, IL"
05572000,43,ST,"SANGAMON RIVER AT MONTICELLO, IL"
05583000,44,ST,"SANGAMON RIVER NEAR OAKFORD, IL"
05586100,162,ST,"ILLINOIS RIVER AT VALLEY CITY, IL"
05586300,67,ST,"ILLINOIS RIVER AT FLORENCE, IL"
05587455,303,ST,"MISSISSIPPI RIVER BELOW GRAFTON, IL"
07022000,310,ST,"Mississippi River at Thebes, IL"
415949091405401,28,GW,083N07W17DACC       1993USGS CRM-1
415952091440400,71,GW-CR,083N08W13CBCB       1994Cedar Rapids Ranney 1
415953091435301,32,GW,083N08W13CBDA       1993USGS CRM-4
415953091435302,23,GW,083N08W13CBDA       2009USGS CRM-4A
420004091442300,58,GW-CR,083N08W14ADCC       1995Cedar Rapids Ranney 2
420010091431801,71,GW-CR,083N08W13ACAD 56471 2002Cedar Rapids Smnl Ranney 4
420013091431001,44,GW,083N08W13AACC       1998USGS CRM-22
420013091442000,69,GW,083N08W14ADBB 43186 1991Cedar Rapids Seminole 17
420013091442501,42,GW,083N08W14ACAA 43187 1991Cedar Rapids Seminole 18
420015091431301,31,GW,083N08W13AACC       1998USGS CRM-23
420033091420301,22,GW,083N07W07DDBD       1993USGS CRM-2
420035091422301,75,GW-CR,083N07W07DCBC 56470 2002Cedar Rapids West Ranney 3
420036091444001,31,GW,083N08W11DCBC       2013Cedar Rapids Ranney 6
430356089293601,26,FA-STS,"SOUTH YELLOWSTONE DRIVE STORM SEWER AT MADISON, WI"
430358089281901,25,FA-STS,"SOUTH KENOSHA DRIVE (EAST) STORM SEWR @ MADISON,WI"
430401089304501,21,FA-STS,"GRAY FOX TRAIL STORM SEWER AT MADISON, WI"
430402089282000,22,FA-STS,"SOUTH KENOSHA DRIVE STORM SEWER AT MADISON, WI"
453047089340421,26,GW,LN-35/07E/13-0064       LK CLARA OBS WELL Q3S
453048089343303,24,AT,"LAKE CLARA BULK PRECIP COLL NEAR TOMAHAWK, WI"
453055089343120,28,GW,LN-35/07E/14-0066       LK CLARA OBS WELL Q2
453100089343002,32,LK,"LAKE CLARA NEAR TOMAHAWK, WI"
455901089412020,26,GW,VI-41/06E/36-0875       VANDERCOOK OBS WELL Q2
455904089404711,27,GW,VI-41/06E/36-0957       VANDERCOOK LK OBS WL N1S
455909089405602,46,LK,"VANDERCOOK LAKE NEAR WOODRUFF, WI"
455911089405903,24,AT,"VANDERCOOK LK BULK PRECIP COLL NEAR WOODRUFF, WI"
460307089391203,20,AT,"TROUT LK BULK PRECIP COLL NEAR BOULDER JCT, WI"
07077500,30,ST,"Cache River at Patterson, AR"
