site_no,DOC_monthly_labels,site_tp_cd,station_nm
394000105533000,24,LA,"LOVELAND PASS SNOW SITE, CO"
394329104490101,26,ST,"TOLL GATE CREEK ABOVE 6TH AVE AT AURORA, CO"
394839104570300,31,ST,"SAND CREEK AT MOUTH NR COMMERCE CITY,CO"
395010104522401,16,GW,34005
395122104512501,16,GW,26160
400200105340000,28,LA,"UNIVERSITY CAMP SNOW SITE, CO"
401138105384101,26,ST,UPPER OUZEL CREEK BLW BLUEBIRD LAKE AT RMNP
401156105360101,39,ST,OUZEL CREEK AT BRIDGE BLW OUZEL FALLS IN RMNP CO
401201105354701,25,ST,N. ST. VRAIN CK ABV OUZEL CK AT RMNP
401226105340100,79,ST,N ST VRAIN CREEK AT WILD BASIN TRAIL NR ALLENSPARK
401642105400600,117,ST,SKY POND INLET - LOCH VALE
401642105400601,54,LK,SKY POND SURFACE - LOCH VALE
401642105400602,18,LK,SKY POND METALIMNION - LOCH VALE
401642105400603,52,LK,SKY POND HYPOLIMNION - LOCH VALE
401642105400604,118,ST,SKY POND OUTLET - LOCH VALE
401655105395403,45,ST,GLASS LAKE OUTLET - LOCH VALE
401707105395000,130,ST,ICY BROOK-LOCH VALE-RMNP
401722105400300,27,LA,"LOCH VALE FOREST SNOW SITE, CO"
401723105394800,124,ST,ANDREWS CREEK - LOCH VALE
401723105400000,270,ST,ANDREWS CREEK-LOCH VALE-RMNP
401725105400001,20,LA,"LOCH VALE MEADOW SNOW SITE, CO"
401727105400000,268,SP,ANDREWS SPRING 1
401733105392400,167,ST,THE LOCH INLET - LOCH VALE
401733105392401,87,LK,THE LOCH SURFACE - LOCH VALE
401733105392402,20,LK,THE LOCH METALIMNION - LOCH VALE
401733105392403,76,LK,THE LOCH HYPOLIMNION - LOCH VALE
401733105392404,409,ST,THE LOCH OUTLET - LOCH VALE
401736105393000,43,ST,LITTLE LOCH CREEK - LOCH VALE
401821105394402,28,ST, HAIYAHA O
401843105400603,28,ST,EMERALD O
401924105362201,13,ST,GLACIER CREEK NR SPRAGUE LAKE IN RMNP CO
402114105350101,296,ST,"BIG THOMPSON BL MORAINE PARK NR ESTES PARK, CO"
402123105370401,43,ST,"BIG THOMPSON R NR FERN LAKE ROAD, RMNP, CO"
403028105371302,27,ST,LOUISE O
403028105371303,21,ST,LOUISE LAKE INLET
403100105540000,29,LA,"CAMERON PASS SNOW SITE, CO"
403245106404900,55,LK,"SUMMIT LAKE NEAR BUFFALO PASS, CO"
405344106405100,68,LK,SEVEN LAKES
405344106405101,51,ST,SEVEN LAKES INFLOW
410917106583300,28,LA,"OLD BATTLE SNOW SITE, WY"
412229106144100,28,LA,"BROOKLYN LAKE SNOW SITE, WY"
423420108503400,27,LA,"SOUTH PASS SNOW SITE, WY"
424728099182201,23,GW, 33N 17W34BDDD1
424728099182202,23,GW, 33N 17W34BDDD2
434452110031300,25,LA,"TOGWOTEE PASS SNOW SITE, WY"
442828110091700,27,LA,"SYLVAN LAKE SNOW SITE, WY"
444142111174700,28,LA,"LIONHEAD SNOW SITE, MT"
444303110304801,26,LA,"CANYON SNOW SITE, WY"
445548111032200,19,LA,"TWENTY-ONE MILE SNOW SITE, MT"
450303109571100,28,LA,"DAISY PASS SNOW SITE, MT"
451638111255900,28,LA,"BIG SKY SNOW SITE, MT"
454147113560900,28,LA,"CHIEF JOSEPH PASS SNOW SITE, MT"
454620112293100,28,LA,"RED MOUNTAIN SNOW SITE, MT"
463246111363601,16,LK,"Canyon Ferry Lake near Winston, MT"
463837111425901,16,LK,"Canyon Ferry Lake near Canyon Ferry, MT"
463900111280000,22,LA,"SPRING GULCH SNOW SITE, MT"
464500112195200,24,LA,"MOUNT BELMONT SNOW SITE, MT"
465100110420000,27,LA,"KINGS HILL SNOW SITE, MT"
07048600,152,ST,"White River near Fayetteville, AR"
07048700,122,ST,"White River near Goshen, AR"
07048780,31,ST,"Richland Creek near Goshen, AR"
07048800,120,ST,"Richland Creek at Goshen, AR"
07048910,136,LK,Beaver Lake at Hwy 412 bridge near Sonora
07049000,129,ST,"War Eagle Creek near Hindsville, AR"
07049050,23,ST,"War Eagle Creek at War Eagle, AR"
07049160,73,ST,War Eagle Creek above White River nr Lowell
07049187,119,LK,"Beaver Lake ds Hickory Ck Landing nr Springdale,AR"
07049200,136,LK,Beaver Lake near Lowell
07049500,137,LK,"Beaver Lake @ Hwy 12 bridge near Rogers, AR"
07049690,48,LK,"Beaver Lake near Eureka Springs, AR"
07050500,29,ST,"Kings River near Berryville, AR"
07053250,49,ST,"Yocum Creek near Oak Grove, AR"
07055646,56,ST,"Buffalo River near Boxley, AR"
07055814,10,ST,"Big Creek at Carver, AR"
07055893,24,ST,"Calf Creek near Silver Hill, AR"
07056000,95,ST,"Buffalo River near St. Joe, AR"
07056515,60,ST,"Bear Creek near Silver Hill, AR"
07060710,182,ST,"North Sylamore Creek near Fifty Six, AR"
07061600,36,ST,"Black River below Annapolis, MO"
07065495,37,ST,"Jacks Fork at Alley Spring, MO"
07075025,31,LK,GREERS FERRY LK @ BRUSH CK
07075215,31,LK,GREERS FERRY LK AB HILL CK AR
07075627,31,LK,"Greers Ferry Lake nr Greers Ferry, AR"
07083000,27,ST,"HALFMOON CREEK NEAR MALTA, CO"
07097000,16,ST,"ARKANSAS RIVER AT PORTLAND, CO."
07099200,119,ST,"ARKANSAS RIVER NEAR PORTLAND, CO."
07099400,120,ST,"ARKANSAS RIVER ABOVE PUEBLO, CO"
07143672,105,ST,"L ARKANSAS R AT HWY 50 NR HALSTEAD, KS"
07144100,186,ST,"L ARKANSAS R NR SEDGWICK, KS"
07144780,74,ST,"NF NINNESCAH R AB CHENEY RE, KS"
07144790,118,LK,"CHENEY RE NR CHENEY, KS"
07159720,47,ST,"Cottonwood Creek near Navina, OK"
07186480,41,ST,"Center Creek near Smithfield, MO"
07189000,48,ST,"Elk River near Tiff City, Mo"
07196500,28,ST,"Illinois River near Tahlequah, OK"
07221500,55,ST,"CANADIAN RIVER NEAR SANCHEZ, NM"
07226560,10,LK,"UTE RE AT SITE B,0.6 MILES AB UTE DAM, NM"
07227140,50,ST,"CANADIAN RIVER ABOVE NM-TX STATE LINE, NM"
07231975,16,ST,"Brushy Creek near Haileyville, OK"
07231990,15,ST,"Peaceable Creek near Haileyville, OK"
07241550,157,ST,"North Canadian River near Harrah, OK"
07246615,18,ST,"Coal Creek near Spiro, OK"
07247450,17,ST,"Fourche Maline near Wilburton, OK"
07248600,18,ST,"Caston Creek at Wister, OK"
07249100,14,ST,"Owl Creek near McCurtain, OK"
07257480,12,ST,"North Fork Illinois Bayou nr Scottsville, AR"
07257500,12,ST,"Illinois Bayou near Scottsville, AR"
07257693,59,ST,"Huckleberry Creek nr Augsburg, AR"
0725769302,23,ST,"Unnamed Tributary A near Augsburg, AR"
07257694,21,ST,"Unnamed Tributary B near Augsburg, AR"
0725769402,22,ST,"Unnamed Tributary C near Augsburg, AR"
07257695,11,LK,"Huckleberry Reservoir nr Augsburg, AR"
07257696,54,ST,Huckleberry Res @ Out-take Struc nr Russellville
07257698,30,ST,Huckleberry Res @ Bldg 2 of T Plt nr Russellville
07257699,25,ST,Ill Byu blw Huckleberry Res @ intake nr Russelvlle
07258010,26,ST,Whig Cr @ WWT Plant nr Russellville
07258020,26,ST,Whig Cr @ Confluence with Ark Rv nr Dardanelle
07261090,22,ST,"Cypress Creek nr Birdtown, AR"
07261100,16,LK,Brewer Lake at Mouth of Cypress Creek
07261110,24,LK,Brewer Lake nr Intake Structure
07263295,199,ST,"Maumelle River at Williams Junction, AR"
07263296,136,ST,"Maumelle River near Wye, AR"
072632962,51,ST,"Bringle Creek at Martindale, AR"
072632965,47,LK,"Lake Maumelle west of Hwy 10 bridge near Wye, AR"
072632966,57,ST,"Lake Maumelle at State Hwy 10 near Wye, AR"
072632968,32,LK,"Lk Maumelle at Mouth of Pigeon Roost Cr nr Wye, AR"
07263297,179,LK,"Lake Maumelle east of Hwy 10 bridge near Wye, AR"
072632971,48,ST,"Yount Creek near Martindale, AR"
0726329710,31,LK,Lake Maumelle at mouth of Yount Cr nr Martindale
072632972,44,LK,"LAKE MAUMELLE DS FROM YOUNT CREEK NEAR WYE, AR"
072632978,4,ST,"TWIN CREEK NEAR WYE, ARKANSAS"
07263298,7,LK,"LAKE MAUMELLE DS FROM TWIN CREEK NEAR WYE, AR"
072632982,49,ST,"Reece Creek at Little Italy, AR"
07263299,181,LK,"Lake Maumelle near Little Italy, AR"
072632990,31,LK,Lake Maumelle at Mouth of Reece Cr nr Martindale
072632992,44,LK,"LAKE MAUMELLE NEAR PINNACLE, ARKANSAS"
072632995,186,LK,Lake Maumelle at Natural Steps
07263620,315,ST,"AR River@David D Terry L&D below Little Rock, AR"
07332950,16,ST,"Muddy Boggy Creek at Atoka, OK"
07333910,41,ST,"McGee Creek near Farris, OK"
351409097231801,4,GW,09N-02W-22 DDA 1
375327097285401,83,GW,25S 01W 07BCCC01  SMW-S11 NR CW36
375348097262800,20,ST,"DISCHARGE FROM L ARKANSAS R ASR NR SEDGWICK, KS"
375350097262800,99,ST,"L ARKANSAS R UPSTREAM OF ASR FAC NR SEDGWICK, KS"
381559104465500,113,LK,PUEBLO RESERVOIR SITE 5C
381602104435200,111,LK,PUEBLO RESERVOIR SITE 7B
381725104494400,93,LK,PUEBLO RESERVOIR SITE 3B
383100106193000,28,LA,"MONARCH PASS SNOW SITE, CO"
383600104430301,21,GW,SC01706506BCC CC-1
383606104414701,18,GW,SC01706505BCA EP-6
383608104415101,20,GW,SC01706505BCA2 SCBD-5
383610104414901,20,GW,SC01706505BCA1 SCBD-4
383615104415101,15,GW,SC01706505BBD SCAD-1
383621104430801,19,GW,SC01606636AAA FC-2
383631104430701,19,GW,SC01606636DDA FC-1
383703104423901,19,GW,SC01606531BAD WW-6A
390500106323000,27,LA,"BRUMLEY SNOW SITE, CO"
392200106120000,27,LA,"FREMONT PASS SNOW SITE, CO"
