file,model,mask,dataset,rows,split_counts,test_stored_rows,test_mask_cells,test_unmatched,test_cells_nonfinite_pred,coverage,recomputed,sha256,in_frozen_table,in_multiseed_table,frozen_mae,frozen_r2,d_mae,d_r2,status
B0_station_mean__e3_spatial_seed43.parquet,B0_station_mean,e3_spatial_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 26140, 'test': 4004, 'val': 2904}",4004,4004,0,0,1.0,"{'mae': 2.9449164329851114, 'r2': -0.010849627795792793, 'rmse': 12.086972017603319, 'n': 4004}",266ce1cb90660b0ff02638b231e43536c4ee658ce4bec88f2756895f97afd620,True,False,2.9449164329851114,-0.0108496116899778,0.0,-1.610581499417174e-08,verified
B0_station_mean__e3_spatial_seed44.parquet,B0_station_mean,e3_spatial_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25325, 'test': 4909, 'val': 2814}",4909,4909,0,0,1.0,"{'mae': 2.7464664490014035, 'r2': -0.06253900118428302, 'rmse': 5.007679713917965, 'n': 4909}",5efe4a040ea80a68b149873766b84cec39d2b2621abf210d78083e416e61ea11,True,False,2.7464664490014035,-0.0625388963649846,0.0,-1.0481929842154347e-07,verified
B1_kriging__e1_r20_seed42.parquet,B1_kriging,e1_r20_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,16,0.9975794251134644,"{'mae': 2.1970352138651252, 'r2': 0.1640445870198295, 'rmse': 7.03681382342393, 'n': 6594}",b25d436f82087b2ae72b63cbaf5b1512fea15cf003cdba73abeec99861d86955,True,False,2.197035213865125,0.1640446693050175,4.440892098500626e-16,-8.228518799668905e-08,verified_partial_coverage
B1_kriging__e1_r20_seed43.parquet,B1_kriging,e1_r20_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,21,0.9968229954614221,"{'mae': 2.0331985774652943, 'r2': 0.3090629947377782, 'rmse': 3.966194069258655, 'n': 6589}",0ca2ae2630602e168e1e489338eb7d0ba0c4d8bf03bf5f71ccf9dedccd4a203c,True,False,2.0331985774652943,0.309063012098801,0.0,-1.7361022786044344e-08,verified_partial_coverage
B1_kriging__e1_r20_seed44.parquet,B1_kriging,e1_r20_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,19,0.997125567322239,"{'mae': 2.208524044500726, 'r2': 0.25502116362682103, 'rmse': 5.144379393161352, 'n': 6591}",efef41929860e158b213063d04bfea7a39222e5fd86ae9d55919759bf8f156ca,True,False,2.208524044500726,0.2550211589729894,0.0,4.653831653378404e-09,verified_partial_coverage
B1_kriging__e1_r40_seed42.parquet,B1_kriging,e1_r40_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,84,0.9936455102503972,"{'mae': 2.2095308187998266, 'r2': 0.135338966380936, 'rmse': 7.257348658093975, 'n': 13135}",ffa484d12a4e8192a7e5dd34e88b017375359048bc211e7f534184f994c323ab,True,False,2.2095308187998266,0.1353389665361094,0.0,-1.5517340190562834e-10,verified_partial_coverage
B1_kriging__e1_r40_seed43.parquet,B1_kriging,e1_r40_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,75,0.9943263484378546,"{'mae': 2.1332986150580493, 'r2': 0.20625386052747496, 'rmse': 5.663445512847889, 'n': 13144}",cca957e4fa91d64eb0aa08a59b3c738a4bef10954e26ba33551debc0fe8e6806,True,False,2.1332986150580493,0.2062538538533352,0.0,6.674139768625409e-09,verified_partial_coverage
B1_kriging__e1_r40_seed44.parquet,B1_kriging,e1_r40_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,63,0.9952341326877978,"{'mae': 2.1813624987601603, 'r2': 0.22457734844606403, 'rmse': 4.986654424465601, 'n': 13156}",b246d647455ff994a5cba658700171daad1df87e59f816ba5d082dffa769bd1d,True,False,2.1813624987601608,0.2245773510674218,-4.440892098500626e-16,-2.621357769738708e-09,verified_partial_coverage
B1_kriging__e1_r60_seed42.parquet,B1_kriging,e1_r60_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,329,0.9834081395935247,"{'mae': 2.2103745363870293, 'r2': 0.15540076114225543, 'rmse': 6.425581581737449, 'n': 19500}",4c7f6e52700e0f37d1a667ad0b4d046679934b46a2280c77fd06b835f3950297,True,False,2.2103745363870293,0.1554007565509583,0.0,4.591297120271065e-09,verified_partial_coverage
B1_kriging__e1_r60_seed43.parquet,B1_kriging,e1_r60_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,286,0.9855766806192949,"{'mae': 2.2039677427502378, 'r2': 0.19790861058719433, 'rmse': 5.340631978212917, 'n': 19543}",32ddd566037fb56bc4ee7f0cf1412e29237841e801fa836fc0539f4263df10d5,True,False,2.203967742750238,0.197908644516418,-4.440892098500626e-16,-3.3929223652862106e-08,verified_partial_coverage
B1_kriging__e1_r60_seed44.parquet,B1_kriging,e1_r60_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,388,0.9804326995814211,"{'mae': 2.2334933997668687, 'r2': 0.15581981063523842, 'rmse': 6.016998476032345, 'n': 19441}",0e8ee67c196de686ae75134266cde7ea79869bb46ba2adcec2d328bfe998ed9b,True,False,2.2334933997668687,0.1558199177393435,0.0,-1.0710410508485424e-07,verified_partial_coverage
B1_kriging__e2a_strict.parquet,B1_kriging,e2a_strict,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 3184}",3184,3184,0,3184,0.0,"{'mae': nan, 'r2': nan, 'rmse': nan, 'n': 0}",c9af4e84453a89418620563b559c59531a615caf4e5633b44dd3116e3620855d,True,False,,,,,zero_coverage
B1_kriging__e2b_partial.parquet,B1_kriging,e2b_partial,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 2547, 'context': 637}",2547,2547,0,125,0.9509226541028661,"{'mae': 1.5083985594185556, 'r2': -0.11481102624676764, 'rmse': 2.047469380445867, 'n': 2422}",f52aee9b6b9897a37fbfeeb7991791124a874d3aee9fc6a3c51dd663b8ca5e4a,True,False,1.5083985594185558,-0.1148109398502723,-2.220446049250313e-16,-8.639649534680771e-08,verified_partial_coverage
