model,mask,n_runs,test_cells,mae_mean,mae_sd_seeds,mae_min,mae_max,r2_mean,r2_sd_seeds,r2_min,r2_max,rmse_mean,rmse_sd_seeds,rmse_min,rmse_max,log_r2_mean,log_r2_sd_seeds,log_r2_min,log_r2_max,log_mae_mean,log_mae_sd_seeds,log_mae_min,log_mae_max,log_rmse_mean,log_rmse_sd_seeds,log_rmse_min,log_rmse_max
H2,e1_r20_seed44,5,6610,1.4424513578414917,0.023649215979914873,1.4242559671401978,1.4838266372680664,0.4507958858927636,0.013290325562505033,0.4333010502757675,0.4660659224190783,4.424543762207032,0.053477529585370644,4.362855434417725,4.494725704193115,0.7468052666013959,0.006128992478479913,0.7361267300683416,0.7517423302237431,0.2070698022842407,0.00349067670495228,0.20428232848644257,0.21298816800117493,0.30673020482063296,0.003687204676081038,0.30374255776405334,0.31314972043037415
H2,e2a_strict,5,3184,1.2017190217971803,0.15247237721793883,1.0144708156585693,1.3861511945724487,0.28057897503143164,0.12317313711215855,0.12021241536225691,0.42363080385499696,1.6859172582626343,0.14412370260920912,1.5134249925613403,1.8698184490203857,0.3854166726656591,0.15410617363840756,0.20623450737122972,0.545970011608881,0.24888359308242797,0.035927214237076316,0.21091298758983612,0.2902895212173462,0.3241133511066437,0.04071275895933968,0.2803319990634918,0.370660662651062
H2,e2b_partial,5,2547,1.1549170732498169,0.15070091108036218,1.017993450164795,1.344304084777832,0.3112306189551344,0.1260952263845762,0.1449287080606898,0.43444604957441535,1.605080795288086,0.14582542796058479,1.4592381715774536,1.7942804098129272,0.4050164784810216,0.16345806008579647,0.21923060319662013,0.5726519491456454,0.24115860760211943,0.0371670402617857,0.20691509544849396,0.28400346636772156,0.3150008738040924,0.043453292352577035,0.2689867913722992,0.36358126997947693
H2,e3_spatial_seed42,5,5068,1.83189218044281,0.11281836290581787,1.7083367109298706,1.99629545211792,0.3035761997225792,0.039659012415678256,0.2629854290361998,0.3542341845424316,3.2438977718353272,0.09247265116356097,3.1247048377990723,3.3381781578063965,0.3254030025603408,0.05631264538667311,0.26028433761302716,0.3883043503991578,0.30468063354492186,0.018978033272372734,0.2810215651988983,0.32915911078453064,0.40828706622123717,0.017122530240219418,0.3890598714351654,0.4278397560119629
H2,e3_spatial_seed43,5,4004,2.3218774795532227,0.10863996399233779,2.188570261001587,2.4524569511413574,0.07591401935010678,0.0050106177962943215,0.06759360952469107,0.08061882065245507,11.556575202941895,0.031293268284286545,11.527152061462402,11.608519554138184,0.41455905116719755,0.045464592013160623,0.35398947550605087,0.46834182731765406,0.35135774612426757,0.01827054857432832,0.32455945014953613,0.37212806940078735,0.46085597276687623,0.017892329423645825,0.43944206833839417,0.484401136636734
H2,e3_spatial_seed44,5,4909,1.8663150072097778,0.030873810851098183,1.833605408668518,1.90422785282135,0.43793391245194935,0.028200414467987687,0.3883089850598078,0.45617212988401223,3.6412599086761475,0.09001784177661001,3.582571506500244,3.799532651901245,0.5708338181386323,0.014497283858227555,0.5604230046918766,0.5947455202396976,0.2918036460876465,0.00815736644012144,0.28286999464035034,0.3035552203655243,0.388150691986084,0.006609799364890123,0.37722623348236084,0.3928759694099426
H2X,e1_r20_seed42,5,6610,1.4246591329574585,0.01830075322302615,1.3975850343704224,1.447523593902588,0.2680434196614997,0.010546355370382081,0.2491824590639552,0.27298903107496675,6.588024425506592,0.04723670619530712,6.5658650398254395,6.672501564025879,0.7574335693318736,0.005424557856957213,0.74946689002897,0.7637538725535943,0.19899453222751617,0.0027571794573612728,0.1957976073026657,0.2027556151151657,0.2994278252124786,0.0033423921504424827,0.29551586508750916,0.304320365190506
H2X,e1_r20_seed43,5,6610,1.313087487220764,0.022566311467467355,1.2858113050460815,1.347900152206421,0.600662611405699,0.013898533305860298,0.5762876152884064,0.6092393009639605,3.0441449165344237,0.05243713385513499,3.0116348266601562,3.1360461711883545,0.7507307119931912,0.010508530255317795,0.732357331332997,0.7587166513435233,0.2012621730566025,0.0044281806710584765,0.1974685788154602,0.20871855318546295,0.29734339118003844,0.0061934484563969635,0.292592316865921,0.3081604838371277
H2X,e1_r20_seed44,5,6610,1.4318877696990966,0.014389422515897287,1.4158971309661865,1.4488160610198975,0.44482969570952735,0.003975076727476477,0.4407128698533046,0.4499896957678782,4.448748588562012,0.01593571489940804,4.428048610687256,4.465235710144043,0.7503646065081251,0.0037455548322447548,0.7462455781441428,0.7545084468590648,0.20531249642372132,0.002169643900026439,0.20164500176906586,0.20673435926437378,0.3045773506164551,0.00228510887843967,0.30204564332962036,0.3070867657661438
H2X,e2a_strict,5,3184,1.0015974283218383,0.03869341899735852,0.9621819257736206,1.0554981231689453,0.4098825548809148,0.02515526828373962,0.37973710878318456,0.4458187237635538,1.5310883522033691,0.03275863073235395,1.4840087890625,1.569995641708374,0.5355229711204442,0.0332850137950554,0.4996662529761463,0.5766231833851019,0.20677940249443055,0.01002111936522302,0.19491712749004364,0.22056633234024048,0.28339309692382814,0.010162210232384769,0.2707035541534424,0.29427969455718994
H2X,e2b_partial,5,2547,0.9455345869064331,0.02633727307927546,0.9148156046867371,0.9737716317176819,0.44737494378763787,0.032958690378832006,0.4197109258909252,0.4868424884805391,1.4419434547424317,0.0432489929558479,1.3899990320205688,1.4781256914138794,0.5724307758721352,0.02947265241431198,0.5240689852836584,0.5993815881193585,0.19527791440486908,0.0062319063951809675,0.18711034953594208,0.20445895195007324,0.26893194317817687,0.009148043141828044,0.2604387104511261,0.28386515378952026
H2X,e3_spatial_seed42,5,5068,1.5817945003509521,0.0640437537695411,1.4821094274520874,1.6387805938720703,0.3944985550363191,0.016235977736262137,0.37639552802984844,0.416614151111238,3.025504302978516,0.04061625348173874,2.96995210647583,3.070620059967041,0.48674720877679867,0.033020106330626506,0.437877373844031,0.525115557964311,0.2552600294351578,0.010134446121542028,0.24074511229991913,0.2651885151863098,0.3562349438667297,0.011401496599574498,0.3428014814853668,0.37296172976493835
H2X,e3_spatial_seed43,5,4004,2.143764305114746,0.09622582043572447,2.0056111812591553,2.242577075958252,0.0750206151506966,0.00479219814124989,0.0697852147005168,0.0801524619323084,11.562163352966309,0.029952746466169314,11.530076026916504,11.594869613647461,0.48706890980149103,0.053743720943635054,0.42772976019148023,0.556121821176939,0.31548519134521485,0.018542251874320848,0.28878968954086304,0.3350487947463989,0.4311561584472656,0.022683239376263174,0.40152931213378906,0.4559171795845032
H2X,e3_spatial_seed44,5,4909,1.6806647777557373,0.038101473867029056,1.627765417098999,1.7300561666488647,0.4980482495150597,0.024446174358249563,0.4692584362340827,0.5299920524149505,3.441055345535278,0.08398429502490322,3.3305559158325195,3.5392045974731445,0.64483714755599,0.019193021746617005,0.616993498026208,0.6705532530795553,0.2577130079269409,0.007279375954619898,0.24596992135047913,0.26599574089050293,0.35304107069969176,0.009529146922968057,0.34011876583099365,0.36672547459602356
