model,seed,mask,file,mae,r2,rmse,log_r2,log_mae,log_rmse,n
H1,1,e2b_partial,H1_directed_river_s1,1.2526113986968994,0.17653563619359214,1.7608062028884888,0.2937978351868823,0.2607813775539398,0.3457837700843811,2547
H1,1,e3_spatial_seed42,H1_directed_river_s1,1.7871583700180054,0.30124885236391363,3.2503695487976074,0.35478241774671315,0.29381048679351807,0.3995782434940338,5068
H1,1,e3_spatial_seed43,H1_directed_river_s1,2.335949659347534,0.05757110917448993,11.670743942260742,0.41769607858772284,0.3468690514564514,0.45989662408828735,4004
H1,1,e3_spatial_seed44,H1_directed_river_s1,1.862911581993103,0.443785772056032,3.623140335083008,0.5929524901193552,0.2870064675807953,0.37805983424186707,4909
H1,2,e1_r20_seed42,H1_directed_river_s2,1.5602853298187256,0.2738764726878702,6.561856269836426,0.7147700288182135,0.22520259022712708,0.32471027970314026,6610
H1,2,e1_r20_seed43,H1_directed_river_s2,1.4412401914596558,0.5620687839584144,3.1882312297821045,0.7050891365575226,0.22609063982963562,0.32347792387008667,6610
H1,2,e1_r20_seed44,H1_directed_river_s2,1.575523853302002,0.406324716457901,4.600461959838867,0.707198900102955,0.22969603538513184,0.3298683762550354,6610
H1,2,e2a_strict,H1_directed_river_s2,1.252202033996582,0.22787594671169875,1.75167715549469,0.29450785410243596,0.26350387930870056,0.34944310784339905,3184
H1,2,e2b_partial,H1_directed_river_s2,1.2089881896972656,0.2511977713835084,1.6790852546691895,0.31110607867351237,0.2567746043205261,0.3415201008319855,2547
H1,2,e3_spatial_seed42,H1_directed_river_s2,1.7725293636322021,0.3283509571832971,3.186710834503174,0.3532148124441288,0.29660850763320923,0.40006333589553833,5068
H1,2,e3_spatial_seed43,H1_directed_river_s2,2.423530340194702,0.05712667514637437,11.673495292663574,0.4164375089915815,0.3519902527332306,0.46039336919784546,4004
H1,2,e3_spatial_seed44,H1_directed_river_s2,1.8838104009628296,0.4357536267515739,3.64920711517334,0.5731187896087109,0.2916542887687683,0.38716092705726624,4909
H1,3,e1_r20_seed42,H1_directed_river_s3,1.5532845258712769,0.29715365719464326,6.45582389831543,0.7213778996816028,0.22061601281166077,0.3209269940853119,6610
H1,3,e1_r20_seed43,H1_directed_river_s3,1.4378994703292847,0.5458453298386758,3.2467494010925293,0.7045034323008532,0.22136865556240082,0.3237989842891693,6610
H1,3,e1_r20_seed44,H1_directed_river_s3,1.5506362915039062,0.4103671714856303,4.58477258682251,0.7096182551821174,0.22772060334682465,0.32850271463394165,6610
H1,3,e2a_strict,H1_directed_river_s3,1.2015058994293213,0.27585139414464654,1.6963847875595093,0.3511622281874973,0.2510524094104767,0.3351185619831085,3184
H1,3,e2b_partial,H1_directed_river_s3,1.163129210472107,0.29999544802067313,1.6234525442123413,0.36354550955199905,0.2454041689634323,0.32826438546180725,2547
H1,3,e3_spatial_seed42,H1_directed_river_s3,1.8124128580093384,0.3123883014272234,3.2243568897247314,0.33144772948846135,0.301423579454422,0.40673956274986267,5068
H1,3,e3_spatial_seed43,H1_directed_river_s3,2.3213374614715576,0.0564743345558959,11.677533149719238,0.41724530343576194,0.3441695272922516,0.46007460355758667,4004
H1,3,e3_spatial_seed44,H1_directed_river_s3,1.8752957582473755,0.41759751503439524,3.707453727722168,0.5627686243311192,0.2923490107059479,0.3918263614177704,4909
H1,4,e1_r20_seed42,H1_directed_river_s4,1.5560901165008545,0.2578873755191924,6.633708477020264,0.7139519540571213,0.2241087555885315,0.32517558336257935,6610
H1,4,e1_r20_seed43,H1_directed_river_s4,1.430363655090332,0.5496912216387948,3.2329728603363037,0.7068311031497387,0.2219138890504837,0.3225211799144745,6610
H1,4,e1_r20_seed44,H1_directed_river_s4,1.5237330198287964,0.4647621453013431,4.368178367614746,0.7201808914604526,0.22316738963127136,0.3224727213382721,6610
H1,4,e2a_strict,H1_directed_river_s4,1.1258041858673096,0.34147687410905103,1.6176927089691162,0.4003818017222609,0.2414044737815857,0.3221571743488312,3184
H1,4,e2b_partial,H1_directed_river_s4,1.080554485321045,0.37523885162217474,1.5337203741073608,0.42256670830222465,0.23379743099212646,0.3126734495162964,2547
H1,4,e3_spatial_seed42,H1_directed_river_s4,1.865474820137024,0.33285845881076104,3.175999879837036,0.3460413026279314,0.31201818585395813,0.40227577090263367,5068
H1,4,e3_spatial_seed43,H1_directed_river_s4,2.35009765625,0.05938297436420281,11.65951919555664,0.42224953294137735,0.3461414873600006,0.4580949544906616,4004
H1,4,e3_spatial_seed44,H1_directed_river_s4,1.8743075132369995,0.4303125721948349,3.666759729385376,0.5765442355947674,0.2899749279022217,0.3856044411659241,4909
H2,0,e1_r20_seed42,H2f_transport_river,1.44279944896698,0.27270974727566744,6.567126274108887,0.7572552615071519,0.20189110934734344,0.2995527982711792,6610
H2,0,e1_r20_seed43,H2f_transport_river,1.364646077156067,0.5798175947296612,3.122955560684204,0.7432229702664395,0.20708635449409485,0.3018403947353363,6610
H2,0,e1_r20_seed44,H2f_transport_river,1.4838266372680664,0.4333010502757675,4.494725704193115,0.7361267300683416,0.21298816800117493,0.31314972043037415,6610
H2,0,e2a_strict,H2f_transport_river,1.319879412651062,0.1888799531361791,1.7953664064407349,0.23995187220617686,0.2814522981643677,0.3627028167247772,3184
H2,0,e2b_partial,H2f_transport_river,1.2847763299942017,0.21307550460778435,1.7212965488433838,0.24659436469210327,0.27667665481567383,0.35715317726135254,2547
H2,0,e3_spatial_seed42,H2f_transport_river,1.99629545211792,0.2633733695411138,3.3372995853424072,0.26028433761302716,0.32915911078453064,0.4278397560119629,5068
H2,0,e3_spatial_seed43,H2f_transport_river,2.4092588424682617,0.07540960022862164,11.559762954711914,0.40869916724316313,0.36175546050071716,0.4634358286857605,4004
H2,0,e3_spatial_seed44,H2f_transport_river,1.852226972579956,0.44227845516640907,3.6280465126037598,0.5947455202396976,0.28286999464035034,0.37722623348236084,4909
